exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th_1,950.274512,950.274512,950.274512,950.274512,0.000000,Mbps
th_2,475.149377,475.149377,475.149377,475.149377,0.000000,Mbps,475.145887,475.145887,475.145887,475.145887,0.000000,Mbps
th_3,950.274169,950.274169,950.274169,950.274169,0.000000,Mbps
th_4,475.149205,475.149205,475.149205,475.149205,0.000000,Mbps,475.145509,475.145509,475.145509,475.145509,0.000000,Mbps
th_5,475.143127,475.143127,475.143127,475.143127,0.000000,Mbps,475.151758,475.151758,475.151758,475.151758,0.000000,Mbps
afct_1,0.442188,0.442188,0.442188,0.442188,0.000000,sec
afct_2,0.884352,0.884352,0.884352,0.884352,0.000000,sec,0.884361,0.884361,0.884361,0.884361,0.000000,sec
afct_3,0.442193,0.442193,0.442193,0.442193,0.000000,sec
afct_4,0.884361,0.884361,0.884361,0.884361,0.000000,sec,0.884371,0.884371,0.884371,0.884371,0.000000,sec
afct_5,0.884366,0.884366,0.884366,0.884366,0.000000,sec,0.884184,0.884184,0.884184,0.884184,0.000000,sec
